"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 24 11:39:07 CST 2023","Thu Aug 24 11:39:07 CST 2023","213","test_case.UserManagement","test_NewUsers","TestNewusers","","","test_NewUsers[新增用户0]","
        :param :
        :return:
        "
"passed","Thu Aug 24 11:39:06 CST 2023","Thu Aug 24 11:39:06 CST 2023","495","test_case.UserManagement","test_DeleteUsers","TestDeleteusers","","","test_DeleteUsers[批量删除用户]","
        :param :
        :return:
        "
"passed","Thu Aug 24 11:39:06 CST 2023","Thu Aug 24 11:39:06 CST 2023","336","test_case.UserManagement","test_GetAppointUserInfo","TestGetappointuserinfo","","","test_GetAppointUserInfo[查找指定用户全部信息]","
        :param :
        :return:
        "
"passed","Thu Aug 24 11:39:08 CST 2023","Thu Aug 24 11:39:08 CST 2023","344","test_case.UserManagement","test_UpdateUsers","TestUpdateusers","","","test_UpdateUsers[通过id查询用户1]","
        :param :
        :return:
        "
"passed","Thu Aug 24 11:39:05 CST 2023","Thu Aug 24 11:39:05 CST 2023","320","test_case.Login","test_TokenCheck","TestTokencheck","","","test_TokenCheck[token校验]","
        :param :
        :return:
        "
"passed","Thu Aug 24 11:39:04 CST 2023","Thu Aug 24 11:39:04 CST 2023","214","test_case.Login","test_Login","TestLogin","","","test_Login[正常登录]","
        :param :
        :return:
        "
"passed","Thu Aug 24 11:39:04 CST 2023","Thu Aug 24 11:39:04 CST 2023","600","test_case.Login","test_Login","TestLogin","","","test_Login[异常登录]","
        :param :
        :return:
        "
"passed","Thu Aug 24 11:39:04 CST 2023","Thu Aug 24 11:39:05 CST 2023","215","test_case.Login","test_Login","TestLogin","","","test_Login[测试账户登录]","
        :param :
        :return:
        "
"passed","Thu Aug 24 11:39:06 CST 2023","Thu Aug 24 11:39:07 CST 2023","555","test_case.UserManagement","test_GetCurrentUserInfo","TestGetcurrentuserinfo","","","test_GetCurrentUserInfo[查找当前用户信息]","
        :param :
        :return:
        "
"skipped","Thu Aug 24 11:39:07 CST 2023","Thu Aug 24 11:39:07 CST 2023","0","test_case.UserManagement","test_NewUsers","TestNewusers","","","test_NewUsers[新增用户2]","
        :param :
        :return:
        "
"passed","Thu Aug 24 11:39:05 CST 2023","Thu Aug 24 11:39:05 CST 2023","325","test_case.Login","test_TokenDelete","TestTokendelete","","","test_TokenDelete[令牌管理调用]","
        :param :
        :return:
        "
"skipped","Thu Aug 24 11:39:05 CST 2023","Thu Aug 24 11:39:05 CST 2023","0","test_case.Login","test_LoginOut","TestLoginout","","","test_LoginOut[登出]","
        :param :
        :return:
        "
"passed","Thu Aug 24 11:39:08 CST 2023","Thu Aug 24 11:39:08 CST 2023","477","test_case.UserManagement","test_UpdateUsers","TestUpdateusers","","","test_UpdateUsers[通过id查询用户0]","
        :param :
        :return:
        "
"passed","Thu Aug 24 11:39:07 CST 2023","Thu Aug 24 11:39:08 CST 2023","129","test_case.UserManagement","test_UpdateUsers","TestUpdateusers","","","test_UpdateUsers[更新用户信息]","
        :param :
        :return:
        "
"passed","Thu Aug 24 11:39:07 CST 2023","Thu Aug 24 11:39:07 CST 2023","211","test_case.UserManagement","test_NewUsers","TestNewusers","","","test_NewUsers[新增用户1]","
        :param :
        :return:
        "
"passed","Thu Aug 24 11:39:05 CST 2023","Thu Aug 24 11:39:06 CST 2023","364","test_case.UserManagement","test_DeleteUsers","TestDeleteusers","","","test_DeleteUsers[删除用户]","
        :param :
        :return:
        "
